Docente;Día;Hueco;Módulo;Grupo;Aula;Tipo
PMAT;1un;1;CEBU;IMP101.2;A01;LEC
RGRa;1un;1;FOLAB;IMP202.1;A10;LEC
MTSA;1un;1;COPE;IMP203.1;A11;LEC
AOJM;1un;1;COS2;TMV101.2;A12;LEC
RZAM;1un;1;COS1;TMV101.1A;A13;LEC
GSA;1un;1;PRTMV;TMV301.2;A30;LEC
PGCA;1un;1;SMEC;IMA302.1;A31;LEC
FPLU;1un;1;SSCON;TMV202.2;A34;LEC
GMMA;1un;1;SCAAR;TMV202.1;A35;LEC
BSVA;1un;1;PFQM;QUI201.1;A41;LEC
LARO;1un;1;EMLB;QUI201.2;A50;LEC
ABJa;1un;1;DIWEB;IFC303.2-D;AT.TFNO;LEC
CAE;1un;1;DMDV;IMP202.2;B01;LEC
LSMM;1un;1;COCA;IMP203.2;B03;LEC
PZRu;1un;1;OACVE;ADG201.1;B10;LEC
LFTE;1un;1;OAGTS;ADG201.2;B11;LEC
MBMS;1un;1;CIA1;IMP101.1;B12;LEC
GGJJ;1un;1;GRRHH;ADG301.2;B20;LEC
AFE;1un;1;COAC;ADG301.1;B21;LEC
JCSA;1un;1;MONTA;FME203.2;C000 m;LEC
DEAl;1un;1;TPIDA;ELE302.2;C100;LEC
PACRe;1un;1;STFM;ELE304.1;C101;LEC
GQJL;1un;1;IDOMO;ELE202.2;C102;LEC
GAPA;1un;1;INST;IMA302.2;C104;LEC
MRJR;1un;1;MMEE;IMA201.2;C106;LEC
BLLMa;1un;1;FOLAB;FME203.1;C107;LEC
FCBJ;1un;1;TEUM;IMA201.1;C110;LEC
MRMA;1un;1;FOLAB;ELE303.1;C200;LEC
GPA;1un;1;ETRAP;ELE203.1;C201;LEC
FMGE;1un;1;IRCOM;ELE203.2;C202;LEC
BDJL;1un;1;RETE;ELE304.2;C203;LEC
LLPAd;1un;1;CIELE;ELE302.1;C204;LEC
ISSM;1un;1;ELTEC;ELE202.1;C205;LEC
RFVM;1un;1;GBDAT;IFC301.1;C206;LEC
GBGU;1un;1;SRINT;IFC301.2;C207;LEC
HLOL;1un;1;SIINF;IFC303.1;C208;LEC
VACA;1un;1;FOLAB;IFC201.1;C209;LEC
LCAMa;1un;1;EIEMP;IFC303.2;C210;LEC
MDAn;1un;1;SORED;IFC201.2;C211;LEC
FPPA;1un;1;EMBSU;TMV201.2;CAR1;LEC
ESIS;1un;1;EFIJ;TMV201.1;CAR3;LEC
RRAN;1un;1;EFIJ;TMV201.1;CAR3;LEC
GMFJa;1un;1;ELVHB;TMV101.1B;ELV1;LEC
CFJA;1un;1;STFTR;TMV301.1;ELV4;LEC
GRD;1un;1;STFTR;TMV301.1;ELV4;LEC
MGOl;1un;1;;;;G
MAMo;1un;1;;;;G
DCAL;1un;1;;;;G
GRMAm;1un;1;;;;G
RBCR;1un;1;;;;ApUC
MSJM;1un;1;;;;RED
SGDR;1un;1;;;;FCT
SGSU;1un;1;;;;FCT
GSGE;1un;1;;;;NNTT
GIMM;1un;1;;;;TOR
PMAT;1un;2;CEBU;IMP101.2;A01;LEC
MTSA;1un;2;COEB;IMP202.1;A11;LEC
MBMS;1un;2;CIA2;TMV101.2;A12;LEC
RZAM;1un;2;COS1;TMV101.1A;A13;LEC
GSA;1un;2;TCREL;TMV301.2;A30;LEC
PGCA;1un;2;SMEC;IMA302.1;A31;LEC
BSVA;1un;2;PFQM;QUI201.1;A41;LEC
MAMo;1un;2;PFQM;QUI201.1;A41;LEC
LARO;1un;2;EMLB;QUI201.2;A50;LEC
CAE;1un;2;DMDV;IMP202.2;B01;LEC
MGOl;1un;2;PEYRE;IMP203.1;B02;LEC
LSMM;1un;2;COCA;IMP203.2;B03;LEC
PZRu;1un;2;EMPAD;ADG201.1;B10;LEC
LFTE;1un;2;OAGTS;ADG201.2;B11;LEC
AOJM;1un;2;COS1;IMP101.1;B12;LEC
GGJJ;1un;2;GRRHH;ADG301.2;B20;LEC
AFE;1un;2;COAC;ADG301.1;B21;LEC
JCSA;1un;2;MONTA;FME203.2;C000 m;LEC
DEAl;1un;2;TPIDA;ELE302.2;C100;LEC
PACRe;1un;2;STFM;ELE304.1;C101;LEC
GQJL;1un;2;IDOMO;ELE202.2;C102;LEC
GAPA;1un;2;INST;IMA302.2;C104;LEC
MRJR;1un;2;MMEE;IMA201.2;C106;LEC
SGCA;1un;2;IGRAF;FME203.1;C107;LEC
FCBJ;1un;2;TEUM;IMA201.1;C110;LEC
MRMA;1un;2;FOLAB;ELE303.1;C200;LEC
GPA;1un;2;ETRAP;ELE203.1;C201;LEC
FMGE;1un;2;ETRAP;ELE203.1;C201;LEC
GRMAm;1un;2;IMSON;ELE203.2;C202;LEC
BDJL;1un;2;RETE;ELE304.2;C203;LEC
LLPAd;1un;2;CIELE;ELE302.1;C204;LEC
ISSM;1un;2;ELTEC;ELE202.1;C205;LEC
RFVM;1un;2;GBDAT;IFC301.1;C206;LEC
GBGU;1un;2;SRINT;IFC301.2;C207;LEC
HLOL;1un;2;SIINF;IFC303.1;C208;LEC
